Legs,Habitat,Cover_Type,Reproduction,Mammal,Animal_Type
0,Cây,Lông,Đẻ con,Không,Côn trùng
4,Không khí,Vảy,Đẻ con,Không,Thú
4,Không khí,Da trơn,Đẻ trứng,Không,Thú
0,Đất,Da trơn,Đẻ con,Không,Côn trùng
6,Nước,Vảy,Đẻ trứng,Không,Cá
6,Cây,Da trơn,Đẻ trứng,Có,Bò sát
0,Đất,Vảy,Đẻ con,Không,Thú
6,Nước,Vảy,Đẻ con,Không,Thú
6,Nước,Vảy,Đẻ con,Không,Chim
6,Không khí,Vảy,Đẻ con,Có,Lưỡng cư
4,Cây,Da trơn,Đẻ trứng,Có,Lưỡng cư
8,Cây,Vảy,Đẻ trứng,Không,Chim
2,Cây,Da trơn,Đẻ trứng,Không,Cá
4,Cây,Vảy,Đẻ con,Có,Thú
4,Cây,Da trơn,Đẻ trứng,Có,Cá
6,Không khí,Lông,Đẻ con,Có,Thú
4,Cây,Da trơn,Đẻ trứng,Không,Thú
6,Không khí,Da trơn,Đẻ trứng,Có,Bò sát
6,Nước,Lông,Đẻ trứng,Không,Cá
0,Cây,Lông,Đẻ con,Không,Lưỡng cư
0,Cây,Vảy,Đẻ con,Có,Chim
8,Nước,Lông,Đẻ trứng,Không,Côn trùng
6,Cây,Lông,Đẻ con,Không,Chim
0,Không khí,Da trơn,Đẻ trứng,Không,Cá
0,Đất,Lông,Đẻ trứng,Có,Lưỡng cư
4,Nước,Vảy,Đẻ trứng,Có,Lưỡng cư
8,Cây,Lông,Đẻ trứng,Có,Lưỡng cư
6,Đất,Da trơn,Đẻ trứng,Có,Lưỡng cư
4,Cây,Da trơn,Đẻ con,Không,Bò sát
2,Đất,Da trơn,Đẻ con,Không,Côn trùng
6,Cây,Da trơn,Đẻ con,Không,Thú
6,Nước,Vảy,Đẻ trứng,Không,Cá
8,Cây,Vảy,Đẻ trứng,Không,Chim
2,Không khí,Vảy,Đẻ trứng,Có,Côn trùng
8,Đất,Lông,Đẻ con,Có,Côn trùng
